LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402-00001,ALLGREENS LLC,,MMC,Denver,80204,2020-12-01
402-00002,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC ,,MMC,Denver,80218,2020-12-01
402-00005,P2C3 LLC,THE SECRET STASH,MMC,Colorado Springs,80904,2020-12-01
402-00008,HERBAL OUTFITTERS LLC,THE GREEN JOINT,MMC,Rifle,81650,2020-12-01
402-00011,JGB VENTURES LLC,DANK ,MMC,Denver,80207,2020-12-01
402-00012,GM 2280 LLC ,,MMC,Denver,80231,2020-12-01
402-00017,1617 WAZEE STREET LLC,LODO WELLNESS CENTER,MMC,Denver,80202,2020-12-01
402-00103,THE HEALING CANNA LLC,,MMC,Colorado Springs,80905,2020-12-01
402-00110,CANNABICARE INC,THE CARE,MMC,Colorado Springs,80915,2020-12-01
402-00018,GREEN KIWI 1 LLC,LIVWELL,MMC,Denver,80207,2020-12-01
402-00024,THE PURPLE DRAGON LLC,,MMC,Denver,80211,2020-12-01
402-00049,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,MMC,Denver,80223,2020-12-01
402-00050,COMPASSIONATE CARE GIVERS INC,CANNABIS STATION,MMC,Denver,80202,2020-12-01
402-00051,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,MMC,Denver,80202,2020-12-01
402-00053,MEDICAL CANNABIS CAREGIVERS INC,NATURALEAF,MMC,Colorado Springs,80918,2020-12-01
402-00090,ORIGINAL CANNABIS GROWERS LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00123,PIKES PEAK CANNABIS CAREGIVERS LLC,PIKES PEAK CAREGIVERS ,MMC,Colorado Springs,80910,2020-12-01
402-00091,ALTERNATIVE MEDICAL REMEDIES LLC,ALTERNATIVE MEDICAL REMEDIES,MMC,Penrose,81240,2020-12-01
402-00206,BBM ENTERPRISES LLC,THE BUD DEPOT,MMC,Lyons,80540,2020-12-01
