LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402R-00004,JGB VENTURES LLC,DANK,Retail Marijuana Store,Denver,80207,2020-12-01
402R-00005,CANOSA PROPERTY INVESTMENTS LLC,BOTANICO 2,Retail Marijuana Store,Denver,80204,2020-12-01
402R-00002,CENTRAL LLC,BONFIRE CANNABIS,Retail Marijuana Store,Central City,80427,2020-12-01
402R-00003,5110 SANCTUARY LLC,EVERBLOOM,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00007,L3ASTOCKCOMPLEX LLC,EUFLORA,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00006,CONCENTRATE LLC,WOLF PAC CANNABIS,Retail Marijuana Store,Denver,80219,2020-12-01
402R-00011,MILE HIGH THERAPEUTIC NETWORK LLC,ALTITUDE WEST,Retail Marijuana Store,Denver,80219,2020-12-01
402R-00010,4095 SHELTER LLC,EVERBLOOM,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00012,DGS INC,THE KIND ROOM,Retail Marijuana Store,Denver,80210,2020-12-01
402R-00013,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,Retail Marijuana Store,Denver,80218,2020-12-01
402R-00017,MAYFLOWER GROUP LLC,THE HEALTH CENTER,Retail Marijuana Store,Denver,80218,2020-12-01
402R-00019,PI ARAPAHOE LLC,LOVA ARAPAHOE,Retail Marijuana Store,Denver,80205,2020-12-01
402R-00016,THE GREEN SOLUTION LLC,,Retail Marijuana Store,Denver,80219,2020-12-01
402R-00014,THE GREEN SOLUTION LLC,,Retail Marijuana Store,Northglenn,80233,2020-12-01
402R-00015,THE GREEN SOLUTION LLC,,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00020,NUTRITIONAL ELEMENTS LLC,THE HEALTH CENTER,Retail Marijuana Store,Denver,80222,2020-12-01
402R-00021,COLORADO HEALTH CONSULTANTS LLC,STARBUDS,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00022,CITI-MED LLC,STARBUDS,Retail Marijuana Store,Denver,80210,2020-12-01
