,ADMYR,SUB1,count_primary,count_secondary,count_tertiary
0,2005,1,6518,195516,315073
1,2005,2,179564,59552,18269
2,2005,3,64962,40607,14117
3,2005,4,69677,60804,21010
4,2005,5,22304,3427,1575
5,2005,6,1295,908,357
6,2005,7,19731,9179,4816
7,2005,8,164,100,86
8,2005,9,332,774,1151
9,2005,10,17581,6219,3329
10,2005,11,2907,1779,1285
11,2005,12,286,324,210
12,2005,13,2251,5520,3742
13,2005,14,105,288,196
14,2005,15,233,276,191
15,2005,16,921,1941,1306
16,2005,17,258,239,227
17,2005,18,158,271,174
18,2005,19,2318,3841,4451
19,2006,1,7346,243409,407009
20,2006,2,214703,76472,21447
21,2006,3,82246,55184,16283
22,2006,4,89638,76249,24101
23,2006,5,41853,5017,1968
24,2006,6,1844,1308,527
25,2006,7,26061,12632,5972
26,2006,8,194,169,109
27,2006,9,341,873,1190
28,2006,10,22278,8437,4228
29,2006,11,3052,2087,1522
30,2006,12,347,591,493
31,2006,13,2860,6863,4790
32,2006,14,129,285,205
33,2006,15,230,323,234
34,2006,16,978,2107,1354
35,2006,17,382,317,325
36,2006,18,186,268,240
37,2006,19,2280,4357,4951
38,2007,1,10942,272715,449723
39,2007,2,245447,84336,24814
40,2007,3,84206,60907,19593
41,2007,4,101132,85241,27765
42,2007,5,44818,5728,2455
43,2007,6,2334,1479,647
44,2007,7,31580,14370,7208
45,2007,8,260,170,164
46,2007,9,447,1099,1403
47,2007,10,22785,9434,4497
48,2007,11,2710,2267,1656
49,2007,12,463,648,592
50,2007,13,3418,8092,5501
51,2007,14,148,241,243
52,2007,15,272,309,229
53,2007,16,1241,2319,1689
54,2007,17,440,362,409
55,2007,18,221,302,314
56,2007,19,2481,5326,6443
57,2008,1,11445,326805,524234
58,2008,2,283716,92355,27471
59,2008,3,82372,63215,22807
60,2008,4,130517,99318,31287
61,2008,5,52229,6202,2780
62,2008,6,2878,1900,846
63,2008,7,45158,18240,9132
64,2008,8,317,246,160
65,2008,9,613,1232,1867
66,2008,10,22273,9975,5830
67,2008,11,3280,2806,2254
68,2008,12,452,497,466
69,2008,13,4416,11213,7305
70,2008,14,146,343,276
71,2008,15,438,408,258
72,2008,16,1480,2916,1993
73,2008,17,620,488,473
74,2008,18,519,354,323
75,2008,19,4254,8610,7361
76,2009,1,11823,336190,542420
77,2009,2,290724,93815,26901
78,2009,3,68865,56400,22768
79,2009,4,137968,101601,31520
80,2009,5,57911,7156,2911
81,2009,6,3017,2029,722
82,2009,7,56985,21927,10225
83,2009,8,394,254,197
84,2009,9,640,1180,1912
85,2009,10,21886,9676,6035
86,2009,11,3511,2916,2488
87,2009,12,403,543,638
88,2009,13,5330,14608,8724
89,2009,14,194,429,341
90,2009,15,634,452,250
91,2009,16,1605,3062,1952
92,2009,17,763,443,558
93,2009,18,1071,426,427
94,2009,19,5897,16514,8632
95,2010,1,9614,323808,523388
96,2010,2,274113,87354,26755
97,2010,3,56014,50962,21314
98,2010,4,135045,98768,31200
99,2010,5,58693,7800,3044
100,2010,6,2908,2067,859
101,2010,7,69290,24843,10822
102,2010,8,637,407,259
103,2010,9,639,1083,1806
104,2010,10,25794,11595,6920
105,2010,11,3078,2899,2453
106,2010,12,319,578,804
107,2010,13,5755,17513,9619
108,2010,14,177,452,440
109,2010,15,767,476,316
110,2010,16,1318,2944,1779
111,2010,17,799,500,627
112,2010,18,1396,428,484
113,2010,19,6279,18158,9746
114,2011,1,6263,338097,551190
115,2011,2,282663,88328,29256
116,2011,3,57803,54967,22768
117,2011,4,140494,102049,34844
118,2011,5,64296,9322,3541
119,2011,6,3130,2256,949
120,2011,7,88677,29232,12095
121,2011,8,1078,566,397
122,2011,9,719,1227,1835
123,2011,10,30821,14252,7726
124,2011,11,3987,3356,2934
125,2011,12,542,683,675
126,2011,13,7012,24213,11748
127,2011,14,177,367,337
128,2011,15,351,423,295
129,2011,16,1529,3057,1842
130,2011,17,631,525,593
131,2011,18,654,543,480
132,2011,19,4669,22033,11991
133,2012,1,9872,313278,505125
134,2012,2,261727,74483,26024
135,2012,3,44398,46521,20454
136,2012,4,119559,94224,31720
137,2012,5,68018,9257,3464
138,2012,6,2485,1780,690
139,2012,7,76892,28799,11368
140,2012,8,1149,581,378
141,2012,9,772,1278,1870
142,2012,10,34508,15299,7790
143,2012,11,3654,3124,2455
144,2012,12,478,613,541
145,2012,13,6281,20517,10271
146,2012,14,178,318,262
147,2012,15,254,339,228
148,2012,16,1306,2367,1414
149,2012,17,536,414,458
150,2012,18,445,495,441
151,2012,19,4017,22842,11576
152,2013,1,6527,313545,490689
153,2013,2,246395,64587,23338
154,2013,3,36944,40129,17322
155,2013,4,109811,88342,30460
156,2013,5,82557,10602,3659
157,2013,6,1981,1383,598
158,2013,7,71902,28823,10498
159,2013,8,1127,640,393
160,2013,9,778,1184,1615
161,2013,10,38525,17281,7843
162,2013,11,4079,3253,2562
163,2013,12,397,531,455
164,2013,13,5640,18518,9381
165,2013,14,113,209,152
166,2013,15,198,301,211
167,2013,16,1164,2023,1340
168,2013,17,424,371,452
169,2013,18,416,527,464
170,2013,19,3722,20451,11268
171,2014,1,7981,299929,478279
172,2014,2,237518,59604,23283
173,2014,3,30956,41307,17611
174,2014,4,97331,89977,32362
175,2014,5,107250,13533,4421
176,2014,6,1818,1408,706
177,2014,7,62355,29804,10525
178,2014,8,1456,789,507
179,2014,9,771,1183,1599
180,2014,10,43688,21035,9137
181,2014,11,3650,3198,2415
182,2014,12,355,525,478
183,2014,13,5464,17029,9323
184,2014,14,84,232,243
185,2014,15,224,310,223
186,2014,16,903,1602,1077
187,2014,17,388,395,410
188,2014,18,358,391,330
189,2014,19,3512,23811,13133
190,2015,1,11061,358683,563275
191,2015,2,238840,62622,25573
192,2015,3,35580,60239,20849
193,2015,4,101767,95947,36647
194,2015,5,179081,18699,5618
195,2015,6,2061,1628,733
196,2015,7,71893,32600,11320
197,2015,8,2289,1126,726
198,2015,9,1027,1495,1809
199,2015,10,45080,22504,9347
200,2015,11,3674,3345,2575
201,2015,12,727,3532,2532
202,2015,13,6423,20537,11346
203,2015,14,94,256,244
204,2015,15,228,355,251
205,2015,16,966,1996,1227
206,2015,17,409,446,301
207,2015,18,380,492,294
208,2015,19,4418,19496,11331
209,2016,1,10291,394583,632784
210,2016,2,262024,69454,28654
211,2016,3,42309,74033,24296
212,2016,4,108565,105706,42308
213,2016,5,206719,23417,6650
214,2016,6,1826,1455,677
215,2016,7,77493,37414,12656
216,2016,8,2731,1315,787
217,2016,9,1128,1625,1883
218,2016,10,58793,30142,10778
219,2016,11,4400,3805,2399
220,2016,12,1119,2532,1899
221,2016,13,8287,25942,14026
222,2016,14,94,141,131
223,2016,15,240,383,252
224,2016,16,1135,2527,1650
225,2016,17,539,456,357
226,2016,18,396,409,280
227,2016,19,5381,18131,11003
228,2017,1,11825,503016,824583
229,2017,2,317031,92102,39386
230,2017,3,65711,125924,37203
231,2017,4,138014,138314,61435
232,2017,5,312427,34988,9663
233,2017,6,2005,1683,854
234,2017,7,95244,46037,16665
235,2017,8,3684,1949,1072
236,2017,9,1469,1938,2356
237,2017,10,72642,39130,13031
238,2017,11,4811,4966,3544
239,2017,12,1329,3628,2912
240,2017,13,11358,33812,19560
241,2017,14,94,141,129
242,2017,15,430,373,244
243,2017,16,1363,2562,1826
244,2017,17,538,413,301
245,2017,18,421,460,348
246,2017,19,8240,17200,13524
247,2018,1,27058,603115,982063
248,2018,2,371300,102451,45322
249,2018,3,83030,155083,43751
250,2018,4,161802,161449,73992
251,2018,5,353484,43799,12672
252,2018,6,1810,1569,829
253,2018,7,106790,48629,18612
254,2018,8,3952,2275,1343
255,2018,9,1724,2332,2668
256,2018,10,100026,57444,17204
257,2018,11,6032,5802,4023
258,2018,12,2094,4209,3380
259,2018,13,12189,34050,21020
260,2018,14,79,130,124
261,2018,15,593,371,240
262,2018,16,1478,2476,1709
263,2018,17,579,503,365
264,2018,18,450,455,378
265,2018,19,10033,18361,14808
