,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2006,17515,2209,19724,4720423,0.4178439093276175,0.37104725572263336,0.046796653604984126
1,2007,17149,2109,19258,4803868,0.4008852866065429,0.356983164400021,0.04390212220652191
2,2008,16365,2281,18646,4889730,0.38132984847834134,0.3346810560092275,0.04664879246911383
3,2009,15246,2086,17332,4972195,0.3485784447311499,0.3066251424169808,0.0419533023141691
4,2010,14410,2054,16464,5047349,0.3261910361260931,0.2854964061331998,0.0406946299928933
5,2011,14369,1831,16200,5121108,0.3163377925245865,0.2805838111596163,0.03575398136497024
6,2012,14441,1928,16369,5192647,0.3152342148426419,0.2781047893299891,0.037129425512652796
7,2013,10408,1818,12226,5269035,0.23203489823089046,0.1975314265325624,0.03450347169832806
8,2014,11483,1805,13288,5350101,0.2483691429376754,0.2146314620976314,0.03373768084004396
9,2015,12839,1745,14584,5450623,0.26756574431950253,0.23555105535642437,0.032014688963078165
10,2016,13480,1957,15437,5539215,0.2786856982442458,0.24335578236266328,0.0353299158815825
11,2017,14737,2114,16851,5611885,0.3002734375348034,0.2626033854934661,0.03767005204133727
12,2018,15979,2015,17994,5691287,0.3161675030621369,0.280762505914743,0.035404997147393896
13,2019,14030,1981,16011,5758736,0.2780297620866801,0.24362985210643448,0.03439990998024567
