,ADMYR,SUB1,count_primary,count_secondary,count_tertiary
0,2005,2.0,47627.0,4402.0,1697.0
1,2005,3.0,3488.0,3018.0,1185.0
2,2005,4.0,4534.0,5610.0,1402.0
3,2005,5.0,1625.0,261.0,138.0
4,2005,6.0,22.0,10.0,3.0
5,2005,7.0,737.0,340.0,148.0
6,2005,8.0,12.0,6.0,3.0
7,2005,9.0,23.0,85.0,178.0
8,2005,10.0,5203.0,1630.0,676.0
9,2005,11.0,78.0,94.0,70.0
10,2005,12.0,156.0,56.0,30.0
11,2005,13.0,123.0,303.0,104.0
12,2005,14.0,4.0,15.0,3.0
13,2005,15.0,78.0,27.0,17.0
14,2005,16.0,44.0,33.0,10.0
15,2005,17.0,24.0,21.0,19.0
16,2005,18.0,11.0,16.0,17.0
17,2005,19.0,83.0,70.0,61.0
18,2006,2.0,46919.0,4252.0,1719.0
19,2006,3.0,3877.0,3207.0,1152.0
20,2006,4.0,4519.0,6240.0,1528.0
21,2006,5.0,1535.0,340.0,163.0
22,2006,6.0,31.0,31.0,6.0
23,2006,7.0,793.0,438.0,172.0
24,2006,8.0,5.0,17.0,8.0
25,2006,9.0,24.0,81.0,149.0
26,2006,10.0,4893.0,1603.0,631.0
27,2006,11.0,80.0,99.0,108.0
28,2006,12.0,147.0,42.0,20.0
29,2006,13.0,136.0,264.0,126.0
30,2006,14.0,15.0,21.0,9.0
31,2006,15.0,58.0,50.0,17.0
32,2006,16.0,33.0,43.0,20.0
33,2006,17.0,28.0,23.0,20.0
34,2006,18.0,16.0,27.0,18.0
35,2006,19.0,85.0,73.0,62.0
36,2007,2.0,44435.0,4421.0,1659.0
37,2007,3.0,3763.0,3200.0,1257.0
38,2007,4.0,4738.0,6184.0,1651.0
39,2007,5.0,1447.0,261.0,153.0
40,2007,6.0,20.0,33.0,8.0
41,2007,7.0,1004.0,529.0,236.0
42,2007,8.0,4.0,5.0,10.0
43,2007,9.0,26.0,99.0,168.0
44,2007,10.0,4625.0,1655.0,684.0
45,2007,11.0,94.0,116.0,130.0
46,2007,12.0,90.0,20.0,17.0
47,2007,13.0,152.0,286.0,133.0
48,2007,14.0,8.0,19.0,8.0
49,2007,15.0,84.0,43.0,20.0
50,2007,16.0,25.0,63.0,23.0
51,2007,17.0,16.0,30.0,24.0
52,2007,18.0,8.0,16.0,20.0
53,2007,19.0,69.0,85.0,65.0
54,2008,2.0,45921.0,4677.0,1666.0
55,2008,3.0,3569.0,3244.0,1340.0
56,2008,4.0,5155.0,6325.0,1613.0
57,2008,5.0,1531.0,304.0,139.0
58,2008,6.0,36.0,29.0,12.0
59,2008,7.0,1318.0,575.0,281.0
60,2008,8.0,3.0,12.0,4.0
61,2008,9.0,41.0,104.0,216.0
62,2008,10.0,4111.0,1476.0,586.0
63,2008,11.0,112.0,159.0,147.0
64,2008,12.0,93.0,33.0,16.0
65,2008,13.0,158.0,357.0,174.0
66,2008,14.0,8.0,8.0,8.0
67,2008,15.0,90.0,51.0,11.0
68,2008,16.0,33.0,56.0,25.0
69,2008,17.0,31.0,39.0,38.0
70,2008,18.0,19.0,21.0,17.0
71,2008,19.0,85.0,2005.0,414.0
72,2009,2.0,46276.0,4783.0,1585.0
73,2009,3.0,2938.0,2961.0,1425.0
74,2009,4.0,5384.0,6422.0,1746.0
75,2009,5.0,1856.0,398.0,118.0
76,2009,6.0,44.0,26.0,12.0
77,2009,7.0,1598.0,820.0,369.0
78,2009,8.0,1.0,7.0,5.0
79,2009,9.0,30.0,136.0,196.0
80,2009,10.0,3851.0,1445.0,673.0
81,2009,11.0,98.0,200.0,191.0
82,2009,12.0,110.0,20.0,14.0
83,2009,13.0,162.0,362.0,268.0
84,2009,14.0,10.0,10.0,6.0
85,2009,15.0,41.0,42.0,18.0
86,2009,16.0,28.0,48.0,28.0
87,2009,17.0,28.0,45.0,29.0
88,2009,18.0,27.0,21.0,22.0
89,2009,19.0,71.0,7845.0,1739.0
90,2010,2.0,45566.0,4760.0,1587.0
91,2010,3.0,2722.0,2702.0,1254.0
92,2010,4.0,5413.0,6644.0,1963.0
93,2010,5.0,2109.0,407.0,135.0
94,2010,6.0,29.0,21.0,9.0
95,2010,7.0,1958.0,991.0,428.0
96,2010,9.0,23.0,118.0,186.0
97,2010,10.0,4323.0,1527.0,627.0
98,2010,11.0,120.0,157.0,166.0
99,2010,12.0,45.0,31.0,23.0
100,2010,13.0,166.0,453.0,273.0
101,2010,14.0,7.0,12.0,8.0
102,2010,15.0,40.0,33.0,19.0
103,2010,16.0,15.0,56.0,26.0
104,2010,17.0,52.0,45.0,28.0
105,2010,18.0,23.0,20.0,27.0
106,2010,19.0,78.0,8190.0,2170.0
107,2011,2.0,49655.0,4482.0,1440.0
108,2011,3.0,2590.0,2669.0,1290.0
109,2011,4.0,4888.0,6790.0,2100.0
110,2011,5.0,2580.0,485.0,162.0
111,2011,6.0,20.0,21.0,2.0
112,2011,7.0,2193.0,1135.0,429.0
113,2011,8.0,4.0,5.0,10.0
114,2011,9.0,44.0,125.0,185.0
115,2011,10.0,4036.0,1560.0,594.0
116,2011,11.0,200.0,177.0,153.0
117,2011,12.0,37.0,39.0,16.0
118,2011,13.0,243.0,544.0,260.0
119,2011,14.0,4.0,7.0,8.0
120,2011,15.0,19.0,41.0,27.0
121,2011,16.0,16.0,37.0,22.0
122,2011,17.0,52.0,24.0,23.0
123,2011,18.0,30.0,25.0,29.0
124,2011,19.0,88.0,10689.0,2466.0
125,2012,2.0,54819.0,4800.0,1610.0
126,2012,3.0,2594.0,3071.0,1465.0
127,2012,4.0,5148.0,7774.0,2481.0
128,2012,5.0,3425.0,733.0,254.0
129,2012,6.0,33.0,31.0,8.0
130,2012,7.0,2869.0,1457.0,513.0
131,2012,8.0,5.0,5.0,5.0
132,2012,9.0,69.0,132.0,216.0
133,2012,10.0,5274.0,1929.0,730.0
134,2012,11.0,185.0,176.0,173.0
135,2012,12.0,33.0,31.0,19.0
136,2012,13.0,266.0,662.0,366.0
137,2012,14.0,6.0,9.0,10.0
138,2012,15.0,32.0,42.0,21.0
139,2012,16.0,22.0,49.0,21.0
140,2012,17.0,61.0,33.0,22.0
141,2012,18.0,30.0,39.0,34.0
142,2012,19.0,124.0,13490.0,2867.0
143,2013,2.0,51951.0,4403.0,1598.0
144,2013,3.0,1938.0,2534.0,1287.0
145,2013,4.0,4842.0,8222.0,2566.0
146,2013,5.0,3907.0,838.0,231.0
147,2013,6.0,35.0,22.0,9.0
148,2013,7.0,2740.0,1432.0,523.0
149,2013,8.0,10.0,12.0,7.0
150,2013,9.0,59.0,123.0,199.0
151,2013,10.0,6445.0,2405.0,823.0
152,2013,11.0,212.0,145.0,147.0
153,2013,12.0,36.0,27.0,23.0
154,2013,13.0,232.0,776.0,366.0
155,2013,14.0,9.0,8.0,8.0
156,2013,15.0,29.0,28.0,19.0
157,2013,16.0,24.0,37.0,21.0
158,2013,17.0,42.0,32.0,24.0
159,2013,18.0,34.0,31.0,22.0
160,2013,19.0,138.0,11679.0,2945.0
161,2014,2.0,53076.0,4818.0,1768.0
162,2014,3.0,1757.0,2466.0,1267.0
163,2014,4.0,5101.0,9731.0,3415.0
164,2014,5.0,5341.0,1127.0,291.0
165,2014,6.0,35.0,33.0,17.0
166,2014,7.0,2414.0,1568.0,510.0
167,2014,8.0,4.0,9.0,11.0
168,2014,9.0,63.0,133.0,186.0
169,2014,10.0,7513.0,3047.0,1011.0
170,2014,11.0,149.0,193.0,143.0
171,2014,12.0,33.0,36.0,34.0
172,2014,13.0,287.0,677.0,374.0
173,2014,14.0,8.0,8.0,13.0
174,2014,15.0,30.0,38.0,25.0
175,2014,16.0,35.0,46.0,22.0
176,2014,17.0,32.0,31.0,26.0
177,2014,18.0,43.0,26.0,24.0
178,2014,19.0,91.0,14410.0,4220.0
179,2015,2.0,41992.0,3877.0,1582.0
180,2015,3.0,1402.0,2091.0,1185.0
181,2015,4.0,4239.0,7978.0,3240.0
182,2015,5.0,5576.0,1000.0,320.0
