,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2007,1139064,240667,1379731,5207203,26.496585594992165,21.874776151419486,4.6218094435726815
1,2008,1070203,230361,1300564,5247018,24.78672647968808,20.396404205207606,4.390322274480477
2,2009,1054077,239163,1293240,5281203,24.48760254055752,19.959032061445093,4.528570479112429
3,2010,1030591,231030,1261621,5310828,23.755636597532437,19.405467471362282,4.350169126170156
4,2011,960381,213331,1173712,5346143,21.95436972037598,17.9639975960239,3.9903721243520796
5,2012,998218,214817,1213035,5376643,22.561196642589067,18.565822577396343,3.9953740651927236
6,2013,1029998,221387,1251385,5413479,23.11609595234414,19.026544667486473,4.089551284857667
7,2014,1015882,205924,1221806,5451079,22.41402115067494,18.636347042484616,3.7776741081903236
8,2015,967592,188778,1156370,5482032,21.093820685468454,17.65024355932253,3.4435771261459256
9,2016,1080661,191627,1272288,5522744,23.03724380489119,19.56746501376852,3.469778791122674
10,2017,1138471,188021,1326492,5566230,23.831066987889468,20.45317926136721,3.37788772652226
11,2018,1155156,185235,1340391,5606249,23.908873829899456,20.604792972984253,3.3040808569152027
12,2019,974088,150881,1124969,5639632,19.947560408196846,17.272190809613107,2.6753695985837376
