,data_year,murder,rape,aggravated_assault,robbery,manslaughter,total_arrests,population,arrest_rate
0,2007,10472,18097,340509,100970,1176,471224,5207203,9.04946475103813
1,2008,10242,17713,341020,104307,1019,474301,5247018,9.039439163349543
2,2009,10089,17638,341041,103252,894,472914,5281203,8.954664306598325
3,2010,9035,16885,330100,90750,894,447664,5310828,8.429269409591122
4,2011,8737,16212,317290,85984,785,429008,5346143,8.02462635211965
5,2012,8977,15567,317023,85213,941,427721,5376643,7.9551683085523806
6,2013,8616,15671,306434,80085,856,411662,5413479,7.604388970567726
7,2014,8552,17166,300217,76837,882,403654,5451079,7.40502935290426
8,2015,9197,18701,305755,77269,896,411818,5482032,7.512141483304001
9,2016,10044,19789,319692,80297,995,430817,5522744,7.800778019042707
10,2017,10721,22122,343792,83790,1065,461490,5566230,8.290889884176543
11,2018,10223,20950,327195,73293,977,432638,5606249,7.717067151316326
12,2019,9352,19592,317632,65560,1034,413170,5639632,7.32618724058591
