,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2007,1139064,240667,1379731,301231207,0.45803056520634666,0.37813612053813533,0.07989444466821129
1,2008,1070203,230361,1300564,304093966,0.42768490842070833,0.3519316789074335,0.07575322951327486
2,2009,1054077,239163,1293240,306771529,0.4215645448636141,0.3436032683463269,0.07796127651728724
3,2010,1030591,231030,1261621,309321666,0.4078670001732113,0.3331777606551492,0.07468923951806208
4,2011,960381,213331,1173712,311556874,0.37672479664178427,0.3082522262050941,0.06847257043669015
5,2012,998218,214817,1213035,313830990,0.38652492540650624,0.3180750250317854,0.0684499003747208
6,2013,1029998,221387,1251385,315993715,0.39601578784565383,0.32595521717892395,0.07006057066672988
7,2014,1015882,205924,1221806,318301008,0.3838523816424735,0.31915764464057245,0.06469473700190105
8,2015,967592,188778,1156370,320635163,0.3606497768929978,0.3017735144663469,0.05887626242665094
9,2016,1080661,191627,1272288,322941311,0.3939687976308488,0.3346307713478007,0.05933802628304807
10,2017,1138471,188021,1326492,324985539,0.4081695462763345,0.3503143566028025,0.05785518967353191
11,2018,1155156,185235,1340391,326687501,0.41029760731494896,0.35359663178543216,0.05670097552951681
12,2019,974088,150881,1124969,328239523,0.3427280754365464,0.2967613379087198,0.04596673752782659
