,data_year,disorderly,curfew,vandalism,stolen_property,total_arrests,population,arrest_rate
0,2007,566143,114852,232729,95517,1009241,301231207,0.3350386601876877
1,2008,549364,107186,227687,88791,973028,304093966,0.3199760958098064
2,2009,531966,91066,219029,85221,927282,306771529,0.3022712058784308
3,2010,499362,74846,204085,76767,855060,309321666,0.27643068494270945
4,2011,470788,63444,193188,75222,802642,311556874,0.25762294687807147
5,2012,450138,62497,186803,80490,779928,313830990,0.248518478050877
6,2013,395453,50052,164972,76088,686565,315993715,0.2172717264329134
7,2014,354710,43374,161196,72555,631835,318301008,0.19850235598374227
8,2015,322523,36652,156645,73106,588926,320635163,0.18367480175591347
9,2016,315599,28299,164736,79743,588377,322941311,0.18219316636142596
10,2017,293213,24735,163130,83480,564558,324985539,0.17371788349019432
11,2018,273943,17762,150169,79429,521303,326687501,0.15957237372237268
12,2019,223550,11309,140660,68388,443907,328239523,0.13523874149670878
