,data_year,murder,rape,aggravated_assault,robbery,manslaughter,total_arrests,population,arrest_rate
0,2007,10472,18097,340509,100970,1176,471224,301231207,0.15643266336611666
1,2008,10242,17713,341020,104307,1019,474301,304093966,0.15597185509429015
2,2009,10089,17638,341041,103252,894,472914,306771529,0.1541583736735882
3,2010,9035,16885,330100,90750,894,447664,309321666,0.1447244241856631
4,2011,8737,16212,317290,85984,785,429008,311556874,0.13769813340725712
5,2012,8977,15567,317023,85213,941,427721,313830990,0.13629023698392564
6,2013,8616,15671,306434,80085,856,411662,315993715,0.13027537588840968
7,2014,8552,17166,300217,76837,882,403654,318301008,0.12681518118220977
8,2015,9197,18701,305755,77269,896,411818,320635163,0.12843819004342952
9,2016,10044,19789,319692,80297,995,430817,322941311,0.1334041156475023
10,2017,10721,22122,343792,83790,1065,461490,324985539,0.14200324156577318
11,2018,10223,20950,327195,73293,977,432638,326687501,0.1324317577733101
12,2019,9352,19592,317632,65560,1034,413170,328239523,0.12587454314573812
