United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"282,162,411","4,452,173","627,963","5,160,586","2,678,588","33,987,977","4,326,921","3,411,777","786,373","572,046","16,047,515","8,227,303","1,213,519","1,299,430","12,434,161","6,091,866","2,929,067","2,693,681","4,049,021","4,471,885","1,277,072","5,311,034","6,361,104","9,952,450","4,933,692","2,848,353","5,607,285","903,773","1,713,820","2,018,741","1,239,882","8,430,621","1,821,204","19,001,780","8,081,614","642,023","11,363,543","3,454,365","3,429,708","12,284,173","1,050,268","4,024,223","755,844","5,703,719","20,944,499","2,244,502","609,618","7,105,817","5,910,512","1,807,021","5,373,999","494,300"
"284,968,955","4,467,634","633,714","5,273,477","2,691,571","34,479,458","4,425,687","3,432,835","795,699","574,504","16,356,966","8,377,038","1,225,948","1,319,962","12,488,445","6,127,760","2,931,997","2,702,162","4,068,132","4,477,875","1,285,692","5,374,691","6,397,634","9,991,120","4,982,796","2,852,994","5,641,142","906,961","1,719,836","2,098,399","1,255,517","8,492,671","1,831,690","19,082,838","8,210,122","639,062","11,387,404","3,467,100","3,467,937","12,298,970","1,057,142","4,064,995","757,972","5,750,789","21,319,622","2,283,715","612,223","7,198,362","5,985,722","1,801,481","5,406,835","494,657"
"287,625,193","4,480,089","642,337","5,396,255","2,705,927","34,871,843","4,490,406","3,458,749","806,169","573,158","16,689,370","8,508,256","1,239,613","1,340,372","12,525,556","6,155,967","2,934,234","2,713,535","4,089,875","4,497,267","1,295,960","5,440,389","6,417,206","10,015,710","5,018,935","2,858,681","5,674,825","911,667","1,728,292","2,173,791","1,269,089","8,552,643","1,855,309","19,137,800","8,326,201","638,168","11,407,889","3,489,080","3,513,424","12,331,031","1,065,995","4,107,795","760,020","5,795,918","21,690,325","2,324,815","615,442","7,286,873","6,052,349","1,805,414","5,445,162","500,017"
"290,107,933","4,503,491","648,414","5,510,364","2,724,816","35,253,159","4,528,732","3,484,336","818,003","568,502","17,004,085","8,622,793","1,251,154","1,363,380","12,556,006","6,196,638","2,941,999","2,723,004","4,117,170","4,521,042","1,306,513","5,496,269","6,422,565","10,041,152","5,053,572","2,868,312","5,709,403","919,630","1,738,643","2,248,850","1,279,840","8,601,402","1,877,574","19,175,939","8,422,501","638,817","11,434,788","3,504,892","3,547,376","12,374,658","1,071,342","4,150,297","763,729","5,847,812","22,030,931","2,360,137","617,858","7,366,977","6,104,115","1,812,295","5,479,203","503,453"
"292,805,298","4,530,729","659,286","5,652,404","2,749,686","35,574,576","4,575,013","3,496,094","830,803","567,754","17,415,318","8,769,252","1,273,569","1,391,802","12,589,773","6,233,007","2,953,635","2,734,373","4,146,101","4,552,238","1,313,688","5,546,935","6,412,281","10,055,315","5,087,713","2,889,010","5,747,741","930,009","1,749,370","2,346,222","1,290,121","8,634,561","1,903,808","19,171,567","8,553,152","644,705","11,452,251","3,525,233","3,569,463","12,410,722","1,074,579","4,210,921","770,396","5,910,809","22,394,023","2,401,580","619,920","7,475,575","6,178,645","1,816,438","5,514,026","509,106"
"295,516,599","4,569,805","666,946","5,839,077","2,781,097","35,827,943","4,631,888","3,506,956","845,150","567,136","17,842,038","8,925,922","1,292,729","1,428,241","12,609,903","6,278,616","2,964,454","2,745,299","4,182,742","4,576,628","1,318,787","5,592,379","6,403,290","10,051,137","5,119,598","2,905,943","5,790,300","940,102","1,761,497","2,432,143","1,298,492","8,651,974","1,932,274","19,132,610","8,705,407","646,089","11,463,320","3,548,597","3,613,202","12,449,990","1,067,916","4,270,150","775,493","5,991,057","22,778,123","2,457,719","621,215","7,577,105","6,257,305","1,820,492","5,546,166","514,157"
"298,379,912","4,628,981","675,302","6,029,141","2,821,761","36,021,202","4,720,423","3,517,460","859,268","570,681","18,166,990","9,155,813","1,309,731","1,468,669","12,643,955","6,332,669","2,982,644","2,762,931","4,219,239","4,302,665","1,323,619","5,627,367","6,410,084","10,036,081","5,163,555","2,904,978","5,842,704","952,692","1,772,693","2,522,658","1,308,389","8,661,679","1,962,137","19,104,631","8,917,270","649,422","11,481,213","3,594,090","3,670,883","12,510,809","1,063,096","4,357,847","783,033","6,088,766","23,359,580","2,525,507","622,892","7,673,725","6,370,753","1,827,912","5,577,655","522,667"
"301,231,207","4,672,840","680,300","6,167,681","2,848,650","36,250,311","4,803,868","3,527,270","871,749","574,404","18,367,842","9,349,988","1,315,675","1,505,105","12,695,866","6,379,599","2,999,212","2,783,785","4,256,672","4,375,581","1,327,040","5,653,408","6,431,559","10,001,284","5,207,203","2,928,350","5,887,612","964,706","1,783,440","2,601,072","1,312,540","8,677,885","1,990,070","19,132,335","9,118,037","652,822","11,500,468","3,634,349","3,722,417","12,563,937","1,057,315","4,444,110","791,623","6,175,727","23,831,983","2,597,746","623,481","7,751,000","6,461,587","1,834,052","5,610,775","534,876"
"304,093,966","4,718,206","687,455","6,280,362","2,874,554","36,604,337","4,889,730","3,545,579","883,874","580,236","18,527,305","9,504,843","1,332,213","1,534,320","12,747,038","6,424,806","3,016,734","2,808,076","4,289,878","4,435,586","1,330,509","5,684,965","6,468,967","9,946,889","5,247,018","2,947,806","5,923,916","976,415","1,796,378","2,653,630","1,315,906","8,711,090","2,010,662","19,212,436","9,309,449","657,569","11,515,391","3,668,976","3,768,748","12,612,285","1,055,003","4,528,996","799,124","6,247,411","24,309,039","2,663,029","624,151","7,833,496","6,562,231","1,840,310","5,640,996","546,043"
"306,771,529","4,757,938","698,895","6,343,154","2,896,843","36,961,229","4,972,195","3,561,807","891,730","592,228","18,652,644","9,620,846","1,346,717","1,554,439","12,796,778","6,459,325","3,032,870","2,832,704","4,317,074","4,491,648","1,329,590","5,730,388","6,517,613","9,901,591","5,281,203","2,958,774","5,961,088","983,982","1,812,683","2,684,665","1,316,102","8,755,602","2,036,802","19,307,066","9,449,566","664,968","11,528,896","3,717,572","3,808,600","12,666,858","1,053,646","4,589,872","807,067","6,306,019","24,801,761","2,723,421","624,817","7,925,937","6,667,426","1,847,775","5,669,264","559,851"
