,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2006,17515,2209,19724,4720423,417.8439093276175,371.04725572263334,46.79665360498413
1,2007,17149,2109,19258,4803868,400.8852866065429,356.983164400021,43.902122206521916
2,2008,16365,2281,18646,4889730,381.3298484783413,334.6810560092275,46.648792469113836
3,2009,15246,2086,17332,4972195,348.5784447311499,306.6251424169808,41.95330231416909
4,2010,14410,2054,16464,5047349,326.19103612609314,285.49640613319986,40.6946299928933
5,2011,14369,1831,16200,5121108,316.3377925245865,280.58381115961623,35.75398136497024
6,2012,14441,1928,16369,5192647,315.2342148426419,278.1047893299891,37.129425512652794
7,2013,10408,1818,12226,5269035,232.03489823089046,197.5314265325624,34.50347169832806
8,2014,11483,1805,13288,5350101,248.36914293767538,214.6314620976314,33.73768084004396
9,2015,12839,1745,14584,5450623,267.5657443195025,235.55105535642437,32.014688963078164
10,2016,13480,1957,15437,5539215,278.6856982442458,243.3557823626633,35.329915881582494
11,2017,14737,2114,16851,5611885,300.2734375348034,262.60338549346613,37.67005204133727
12,2018,15979,2015,17994,5691287,316.1675030621369,280.76250591474303,35.4049971473939
13,2019,14030,1981,16011,5758736,278.02976208668014,243.62985210643447,34.39990998024567
