,data_year,disorderly,curfew,vandalism,stolen_property,total_arrests,population,arrest_rate
0,2006,12254,2651,6525,1232,22662,4720423,480.0840941585108
1,2007,12800,2414,6117,1059,22390,4803868,466.08274831864657
2,2008,12120,2278,6484,792,21674,4889730,443.2555580778489
3,2009,11358,1945,6095,687,20085,4972195,403.94634562803753
4,2010,11059,1838,5563,706,19166,5047349,379.7240888236577
5,2011,10468,1457,5493,688,18106,5121108,353.5563007068002
6,2012,9678,1487,5174,802,17141,5192647,330.1013914483307
7,2013,10362,1236,5144,646,17388,5269035,330.00350158994956
8,2014,9802,1607,5297,319,17025,5350101,318.21829157991596
9,2015,9036,1334,5419,428,16217,5450623,297.52562230042327
10,2016,8001,1266,5650,536,15453,5539215,278.9745478375546
11,2017,7783,1100,5802,528,15213,5611885,271.08538396635
12,2018,7720,847,5507,608,14682,5691287,257.97328442582494
13,2019,6056,520,5266,499,12341,5758736,214.30049927623008
