,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2007,12904,5960,18864,5207203,362.26742072471535,247.810580843497,114.45683988121839
1,2008,12491,5873,18364,5247018,349.9892700958907,238.05902705117458,111.93024304471608
2,2009,11374,5811,17185,5281203,325.39934556577356,215.36759711755067,110.03174844822288
3,2010,11350,6488,17838,5310828,335.8798289080347,213.71432100606535,122.16550790196935
4,2011,12759,6918,19677,5346143,368.0597395168816,238.65803814076804,129.40170137611358
5,2012,16027,6830,22857,5376643,425.1165643692542,298.0856270353081,127.0309373339461
6,2013,13974,7484,21458,5413479,396.38095945324625,258.1334480100505,138.24751144319578
7,2014,13946,7572,21518,5451079,394.7475353044782,255.8392567783369,138.90827852614134
8,2015,15937,4055,19992,5482032,364.68229298916896,290.71337051662596,73.96892247254303
9,2016,9972,2230,12202,5522744,220.9408945987719,180.56241607432827,40.37847852444364
10,2017,19157,4349,23506,5566230,422.2965993140779,344.1647219033349,78.131877410743
11,2018,17651,4612,22263,5606249,397.11043872649964,314.8450951786123,82.26534354788737
12,2019,16175,4234,20409,5639632,361.88531450279027,286.8094939527969,75.07582054999332
