,data_year,disorderly,curfew,vandalism,stolen_property,total_arrests,population,arrest_rate
0,2007,15184,4022,4829,2051,26086,5207203,500.9599203257488
1,2008,14336,3882,4658,1699,24575,5247018,468.36126729506174
2,2009,13185,3047,4378,1872,22482,5281203,425.6984630206413
3,2010,13314,2091,4006,1764,21175,5310828,398.7137222293774
4,2011,15195,4447,4563,1866,26071,5346143,487.6599821591005
5,2012,15822,7565,4782,2179,30348,5376643,564.4414181860317
6,2013,12549,3776,3712,2139,22176,5413479,409.6441493538629
7,2014,11573,2290,3681,1977,19521,5451079,358.11258651727485
8,2015,11813,2113,3920,1997,19843,5482032,361.9643227182913
9,2016,10218,1363,3805,2061,17447,5522744,315.9118003659051
10,2017,10561,1226,3803,2458,18048,5566230,324.24100333618986
11,2018,9761,515,2931,2154,15361,5606249,273.9978192192319
12,2019,9392,714,2872,2137,15115,5639632,268.0139413351793
