,data_year,murder,rape,aggravated_assault,robbery,manslaughter,total_arrests,population,arrest_rate
0,2007,115,125,4381,1338,3,5962,5207203,114.49524821674898
1,2008,111,117,4122,1287,4,5641,5247018,107.50868398011976
2,2009,101,687,4006,1217,8,6019,5281203,113.9702450369736
3,2010,91,643,4082,1039,5,5860,5310828,110.34060978815357
4,2011,91,761,4485,1582,2,6921,5346143,129.45781659787252
5,2012,127,823,5730,1953,9,8642,5376643,160.73226360760793
6,2013,113,662,4508,1595,5,6883,5413479,127.1455934344624
7,2014,124,641,4518,1563,13,6859,5451079,125.82829931468613
8,2015,156,800,4769,1727,9,7461,5482032,136.0991690672364
9,2016,132,675,4570,1647,11,7035,5522744,127.38233023294218
10,2017,152,752,5028,1582,5,7519,5566230,135.0824525756212
11,2018,116,653,4108,1106,14,5997,5606249,106.96991874602787
12,2019,110,699,4106,1260,32,6207,5639632,110.06037273354006
