,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2007,1139064,240667,1379731,301231207,458.03056520634664,378.13612053813534,79.89444466821128
1,2008,1070203,230361,1300564,304093966,427.6849084207083,351.93167890743354,75.75322951327486
2,2009,1054077,239163,1293240,306771529,421.5645448636141,343.6032683463269,77.96127651728723
3,2010,1030591,231030,1261621,309321666,407.8670001732113,333.1777606551492,74.68923951806208
4,2011,960381,213331,1173712,311556874,376.7247966417842,308.25222620509413,68.47257043669016
5,2012,998218,214817,1213035,313830990,386.5249254065062,318.0750250317854,68.4499003747208
6,2013,1029998,221387,1251385,315993715,396.0157878456538,325.955217178924,70.06057066672987
7,2014,1015882,205924,1221806,318301008,383.85238164247346,319.1576446405724,64.69473700190105
8,2015,967592,188778,1156370,320635163,360.64977689299786,301.7735144663469,58.87626242665094
9,2016,1080661,191627,1272288,322941311,393.96879763084877,334.63077134780076,59.33802628304807
10,2017,1138471,188021,1326492,324985539,408.1695462763345,350.31435660280255,57.85518967353191
11,2018,1155156,185235,1340391,326687501,410.29760731494895,353.5966317854322,56.70097552951682
12,2019,974088,150881,1124969,328239523,342.72807543654636,296.7613379087198,45.96673752782659
