,data_year,drug_poss_subtotal,drug_sales_subtotal,total_arrests,population,arrest_rate,poss_arrest_rate,sales_arrest_rate
0,2007,17331,1788,19119,3722417,513.6178993379839,465.5845919465766,48.03330739140725
1,2008,15599,1714,17313,3768748,459.3833283626287,413.90403391258843,45.47929445004017
2,2009,14308,1739,16047,3808600,421.3359239615607,375.67610145460276,45.65982250695794
3,2010,15803,1627,17430,3837491,454.20301962923173,411.80552605856275,42.39749357066896
4,2011,17748,1913,19661,3872036,507.76903933744416,458.36350695086514,49.40553238657905
5,2012,18021,2010,20031,3899001,513.7469828809996,462.1953161848381,51.551666696161405
6,2013,10243,661,10904,3922468,277.98824617562207,261.1366109296494,16.851635245972687
7,2014,12949,1088,14037,3963244,354.1795559395283,326.72729713335843,27.452258806169898
8,2015,11828,697,12525,4015792,311.8936438939068,294.53716726364314,17.35647663026372
9,2016,14895,659,15554,4089976,380.2956300966069,364.1830661109014,16.11256398570554
10,2017,15099,867,15966,4143625,385.31479079308576,364.3910826872605,20.923708105825213
11,2018,14751,751,15502,4181886,370.6939883105374,352.73558389683507,17.958404413702336
12,2019,13234,825,14059,4217737,333.3304091743985,313.77015684003055,19.560252334367934
