,data_year,disorderly,curfew,vandalism,stolen_property,total_arrests,population,arrest_rate
0,2007,7801,2789,5582,690,16862,3722417,452.9852512493898
1,2008,8412,2020,5499,383,16314,3768748,432.8758516090755
2,2009,9013,1902,4841,399,16155,3808600,424.17161161581686
3,2010,10407,1621,4777,371,17176,3837491,447.58411159791643
4,2011,10279,852,4686,421,16238,3872036,419.36593564729253
5,2012,10544,1161,4342,530,16577,3899001,425.16018846878984
6,2013,3501,407,2143,296,6347,3922468,161.8113901757771
7,2014,6219,527,2755,380,9881,3963244,249.3159643968426
8,2015,5597,518,2825,437,9377,4015792,233.50312964416486
9,2016,7443,567,4335,603,12948,4089976,316.5788747904633
10,2017,6769,501,4097,610,11977,4143625,289.0464267398715
11,2018,6987,361,4042,670,12060,4181886,288.38662746904146
12,2019,7072,270,3701,544,11587,4217737,274.7207803616015
